tarih,buyukluk,derinlik_km,kaynak
2023-08-23T08:19:29,4.2,11.97,AFAD
2023-08-22T10:17:32,4.7,7.06,AFAD
2023-08-21T15:45:57,4.1,61.85,AFAD
2023-08-21T13:54:32,4.1,5.17,AFAD
2023-08-20T07:05:53,4.2,22.17,AFAD
2023-08-17T15:25:06,4.1,5.43,AFAD
2023-08-16T14:36:58,4.5,7.3,AFAD
2023-08-12T15:18:19,4.2,9.13,AFAD
2023-08-12T13:40:01,4.5,7,AFAD
2023-08-12T13:39:16,4.8,6.35,AFAD
2023-08-11T01:55:27,4.3,7.43,AFAD
2023-08-10T17:48:00,5.3,7.89,AFAD
2023-08-10T13:16:03,4.5,12.44,AFAD
2023-08-10T12:25:52,4.2,16.81,AFAD
2023-08-09T17:01:46,4.4,12.1,AFAD
2023-08-03T04:56:15,4.3,7.04,AFAD
2023-08-01T21:52:46,4.3,6.07,AFAD
2023-08-01T18:37:03,4.1,9.56,AFAD
2023-08-01T15:06:51,5,7.83,AFAD
2023-07-25T07:57:54,4.4,9.06,AFAD
2023-07-25T05:44:49,5.5,10.38,AFAD
2023-07-23T10:48:37,4,8.76,AFAD
2023-07-22T14:43:09,4.2,7.05,AFAD
2023-07-21T11:23:24,4,5.55,AFAD
2023-07-20T23:49:14,4,13.11,AFAD
2023-07-18T00:27:21,4,7.02,AFAD
2023-07-12T17:37:39,4.1,6.87,AFAD
2023-07-11T09:52:18,4,7,AFAD
2023-06-30T07:49:47,4,7,AFAD
2023-06-29T13:34:42,4,5.53,AFAD
2023-06-29T05:28:07,4.3,6.98,AFAD
2023-06-27T12:40:06,4.1,7.75,AFAD
2023-06-26T06:41:29,4.7,12.12,AFAD
2023-06-22T05:21:02,4.1,7.01,AFAD
2023-06-19T18:31:30,4.7,7,AFAD
2023-06-19T11:43:24,4.3,12.52,AFAD
2023-06-19T10:15:37,4.1,7,AFAD
2023-06-19T01:21:35,4,7,AFAD
2023-06-19T00:30:18,4.4,3.3,AFAD
2023-06-18T20:59:21,4,10.15,AFAD
2023-06-18T15:36:28,4.6,7.06,AFAD
2023-06-17T22:02:55,4.1,11.74,AFAD
2023-06-16T09:54:53,4.1,7.01,AFAD
2023-06-11T14:57:02,4.2,7,AFAD
2023-06-11T07:41:03,4.6,7,AFAD
2023-06-11T04:47:13,4,4.85,AFAD
2023-06-11T04:42:00,4.2,7.52,AFAD
2023-06-09T01:49:01,4,16.52,AFAD
2023-06-08T03:38:41,4.2,6.99,AFAD
2023-06-05T16:40:47,4.4,11.41,AFAD
2023-06-03T22:25:20,4.2,7,AFAD
2023-06-03T15:07:26,4.1,7,AFAD
2023-05-25T19:59:06,4,7.17,AFAD
2023-05-25T15:02:05,4.1,6.96,AFAD
2023-05-23T01:12:46,4.2,7,AFAD
2023-05-22T16:42:58,4.5,7,AFAD
2023-05-22T16:06:58,4.7,7,AFAD
2023-05-21T20:16:22,4,7,AFAD
2023-05-21T12:46:13,4.9,6.67,AFAD
2023-05-20T00:48:18,4.5,7.16,AFAD
2023-05-19T08:23:36,4.1,12.56,AFAD
2023-05-13T19:54:45,4,7.47,AFAD
2023-05-12T08:36:24,4.3,7.02,AFAD
2023-05-12T08:33:21,4.5,7,AFAD
2023-05-11T14:57:04,4,11.56,AFAD
2023-05-09T23:14:49,4.2,7.86,AFAD
2023-05-09T15:22:06,4,7,AFAD
2023-05-08T20:20:33,4.6,8.64,AFAD
2023-05-07T08:36:10,4.7,7.44,AFAD
2023-05-06T12:29:25,4.1,10.17,AFAD
2023-05-05T14:52:28,4.6,7.55,AFAD
2023-05-04T01:50:00,4.2,18.31,AFAD
2023-05-03T17:22:15,4.1,6.83,AFAD
2023-05-03T17:16:38,5,7,AFAD
2023-05-03T06:20:52,4.3,13.13,AFAD
2023-05-01T21:35:58,4.4,5.44,AFAD
2023-04-30T13:01:26,4.3,11.07,AFAD
2023-04-29T01:55:47,4.7,7,AFAD
2023-04-28T05:15:44,4.1,7,AFAD
2023-04-27T15:33:43,4.3,7,AFAD
2023-04-26T20:00:35,5,54.16,AFAD
2023-04-26T15:31:03,4.3,7.36,AFAD
2023-04-26T04:48:31,4.1,7,AFAD
2023-04-25T22:14:08,4,7,AFAD
2023-04-25T18:48:11,4,11.34,AFAD
2023-04-19T22:44:07,4.6,11.11,AFAD
2023-04-17T04:07:18,4,7,AFAD
2023-04-15T21:51:01,4.1,7.03,AFAD
2023-04-15T09:37:21,4.2,7,AFAD
2023-04-14T23:01:34,4,7,AFAD
2023-04-13T13:26:58,4.3,7,AFAD
2023-04-11T10:30:45,4.3,7,AFAD
2023-04-11T08:17:41,4,10.27,AFAD
2023-04-10T22:45:09,4,7.57,AFAD
2023-04-08T00:26:43,4.1,16.36,AFAD
2023-04-07T08:29:36,4.5,7,AFAD
2023-04-04T08:54:53,4.1,7,AFAD
2023-04-03T12:44:14,4.2,10.58,AFAD
2023-04-03T10:52:54,4.3,11.13,AFAD
2023-04-03T03:45:48,4.3,7,AFAD
2023-04-01T21:24:39,4.2,11.83,AFAD
2023-04-01T12:40:53,4.2,17.92,AFAD
2023-04-01T12:34:39,4.1,13.34,AFAD
2023-03-31T10:56:56,4.3,14.39,AFAD
2023-03-29T21:44:20,4.1,7.01,AFAD
2023-03-29T20:08:37,4,7.69,AFAD
2023-03-29T17:05:55,4,7.01,AFAD
2023-03-29T16:47:02,4.5,9.38,AFAD
2023-03-29T13:58:38,4,7.01,AFAD
2023-03-27T14:35:15,4.5,8.7,AFAD
2023-03-25T06:33:38,4.2,9.44,AFAD
2023-03-25T04:39:32,4.5,7,AFAD
2023-03-24T13:10:32,4.4,15.5,AFAD
2023-03-24T03:16:56,5.6,7,AFAD
2023-03-24T00:39:53,4.7,7.34,AFAD
2023-03-23T10:04:55,4.2,6.28,AFAD
2023-03-23T09:23:47,4,7,AFAD
2023-03-23T09:19:51,5.3,12.9,AFAD
2023-03-23T05:45:21,4.3,7,AFAD
2023-03-22T19:43:23,4.4,6.99,AFAD
2023-03-20T20:42:43,4.1,7,AFAD
2023-03-20T15:40:34,4.1,7,AFAD
2023-03-20T09:57:07,4.3,15.36,AFAD
2023-03-19T12:56:45,4.1,7.35,AFAD
2023-03-19T12:54:25,4.4,7,AFAD
2023-03-19T08:44:19,4.1,17.03,AFAD
2023-03-19T07:25:26,4,6.96,AFAD
2023-03-18T09:25:31,4.2,6.99,AFAD
2023-03-18T05:14:29,4.6,7,AFAD
2023-03-17T13:24:10,4,12.39,AFAD
2023-03-17T01:41:12,4.1,7,AFAD
2023-03-16T19:59:13,4.3,16.04,AFAD
2023-03-16T10:55:06,4.8,9.12,AFAD
2023-03-15T05:49:33,4,7.72,AFAD
2023-03-14T14:49:47,4.9,5.34,AFAD
2023-03-14T06:47:34,4.7,7,AFAD
2023-03-13T02:23:14,4.4,11.21,AFAD
2023-03-13T02:13:51,4.5,8.08,AFAD
2023-03-13T01:34:29,4.7,10.14,AFAD
2023-03-12T12:31:21,4.4,8.17,AFAD
2023-03-11T19:35:16,4,7,AFAD
2023-03-10T02:28:13,4.8,7,AFAD
2023-03-09T23:34:16,4.1,7.24,AFAD
2023-03-09T22:22:05,4,19.26,AFAD
2023-03-09T21:08:48,4.1,7,AFAD
2023-03-09T18:55:27,4.5,9.6,AFAD
2023-03-08T21:44:04,4,7,AFAD
2023-03-07T14:18:20,4.2,7,AFAD
2023-03-07T11:53:38,4.3,8.52,AFAD
2023-03-07T11:48:03,4.4,7,AFAD
2023-03-07T11:47:27,4.7,16.4,AFAD
2023-03-07T09:40:11,4.4,7.52,AFAD
2023-03-06T22:14:57,4.1,7.05,AFAD
2023-03-06T13:03:24,4,13.02,AFAD
2023-03-06T11:02:58,4.1,7,AFAD
2023-03-06T04:57:33,4.2,13.29,AFAD
2023-03-05T20:49:46,4.5,5.39,AFAD
2023-03-04T20:59:40,4.1,14.27,AFAD
2023-03-04T10:26:24,4,4.63,AFAD
2023-03-04T05:27:33,4.4,7,AFAD
2023-03-04T03:03:41,4,7.23,AFAD
2023-03-04T00:20:09,4.1,7,AFAD
2023-03-03T02:53:42,5,7.06,AFAD
2023-03-01T16:38:00,4.3,7.6,AFAD
2023-03-01T10:52:36,4.1,4.31,AFAD
2023-03-01T07:20:22,4.4,11.06,AFAD
2023-03-01T04:15:30,4.2,7,AFAD
2023-03-01T02:23:21,4.4,7,AFAD
2023-02-28T23:32:10,4,9.32,AFAD
2023-02-28T16:59:09,4,7,AFAD
2023-02-28T15:16:38,4.4,7,AFAD
2023-02-28T14:49:15,4.1,13.61,AFAD
2023-02-28T14:39:53,4.5,9.88,AFAD
2023-02-28T12:42:15,4.1,12.93,AFAD
2023-02-28T06:38:14,4.1,7,AFAD
2023-02-28T02:18:58,4.1,7,AFAD
2023-02-27T19:12:00,4,7,AFAD
2023-02-27T18:22:21,4.1,14.5,AFAD
2023-02-27T16:16:45,4.1,7.34,AFAD
2023-02-27T09:04:49,5.6,6.15,AFAD
2023-02-27T06:19:47,4.3,7,AFAD
2023-02-27T02:51:20,5,8.51,AFAD
2023-02-26T04:37:39,4,7,AFAD
2023-02-26T02:26:29,4.5,13.29,AFAD
2023-02-25T12:41:12,4.7,5.32,AFAD
2023-02-25T10:27:09,5.3,2.28,AFAD
2023-02-25T08:58:39,4.2,7,AFAD
2023-02-25T01:12:20,4,16.05,AFAD
2023-02-25T00:28:09,4.4,12.5,AFAD
2023-02-24T23:25:28,4.3,16.15,AFAD
2023-02-24T20:25:29,4.7,7,AFAD
2023-02-24T20:10:46,4,21.67,AFAD
2023-02-24T17:19:58,4.7,7,AFAD
2023-02-24T14:01:58,4.4,7,AFAD
2023-02-24T05:46:17,4,7.29,AFAD
2023-02-23T17:52:39,4.1,7,AFAD
2023-02-23T15:53:47,5,8.75,AFAD
2023-02-23T11:41:42,4.4,6.97,AFAD
2023-02-23T03:23:03,4.1,10.49,AFAD
2023-02-23T01:42:57,4.3,10.35,AFAD
2023-02-22T20:36:06,4.1,7,AFAD
2023-02-22T07:56:53,4.3,16.57,AFAD
2023-02-22T07:09:42,4.4,9.68,AFAD
2023-02-22T05:50:50,4.1,7,AFAD
2023-02-22T04:40:01,4.1,7,AFAD
2023-02-22T03:04:44,4,11.52,AFAD
2023-02-22T01:26:06,4.1,7,AFAD
2023-02-21T16:06:48,4.2,7,AFAD
2023-02-21T11:55:54,4,7,AFAD
2023-02-21T09:56:45,4.1,11.59,AFAD
2023-02-21T08:11:50,4,16.39,AFAD
2023-02-20T23:21:13,4.4,7.67,AFAD
2023-02-20T22:56:56,4.2,7,AFAD
2023-02-20T19:09:20,4.1,10.65,AFAD
2023-02-20T19:00:14,4.2,7,AFAD
2023-02-20T17:38:45,4.1,7,AFAD
2023-02-20T17:19:10,4.1,8.1,AFAD
2023-02-20T17:14:18,4,7.07,AFAD
2023-02-20T17:07:34,5.8,6.64,AFAD
2023-02-20T17:05:45,4.9,6.63,AFAD
2023-02-20T17:04:27,6.4,21.73,AFAD
2023-02-20T03:45:37,4.5,7.01,AFAD
2023-02-20T02:29:34,4.4,7.04,AFAD
2023-02-20T01:48:59,4.5,6.99,AFAD
2023-02-20T01:07:37,4.6,14.56,AFAD
2023-02-20T00:39:01,4.8,13.26,AFAD
2023-02-20T00:37:29,4.7,11.85,AFAD
2023-02-19T23:57:26,4.3,8.63,AFAD
2023-02-19T21:30:30,4.2,9.82,AFAD
2023-02-19T12:04:32,4.7,7,AFAD
2023-02-19T06:55:38,4,10.39,AFAD
2023-02-19T05:46:34,4,11.99,AFAD
2023-02-19T04:07:40,4.5,4.98,AFAD
2023-02-19T03:59:11,4.3,10.07,AFAD
2023-02-19T00:56:10,4.4,12.5,AFAD
2023-02-18T20:56:06,4.1,13.07,AFAD
2023-02-18T19:31:31,5.1,6.2,AFAD
2023-02-18T17:32:58,4.7,7.96,AFAD
