il,sismik_tehlike,maruziyet,kirilganlik,sigortasizlik_acigi,bilesik_risk_skoru,mc_ortalama,ci_alt_95,ci_ust_95
Kayseri,0.14515811838939038,3.028846153846154,0.14515811838939038,5,1.4957487171874804,1.5261811714056892,1.2408952965744446,1.8381146517172655
Elazığ,0.6883738098831028,1.8269230769230773,0.6883738098831028,5,1.4611012090067848,1.463024497877683,1.1480297080240622,1.782510035651575
Kocaeli,0.29410995449650074,2.259615384615384,0.29410995449650074,5,1.3543505880825157,1.367874722402477,1.0746131665022605,1.6835199565378665
Ardahan,0.9080677553273108,0.5769230769230763,0.9080677553273108,5,1.2179175762733094,1.2219884945832091,0.906050651286488,1.5323110349372318
Bingöl,0.7334419128136727,0.9134615384615392,0.7334419128136727,5,1.2141036092266653,1.218776808515949,0.8993991067449327,1.5339797560091424
Kütahya,0.45029068063865757,1.4423076923076925,0.45029068063865757,5,1.2028667160755022,1.2070681049668766,0.904182923343711,1.5242290942188323
Samsun,0.06062923092757372,2.1153846153846163,0.06062923092757372,5,1.1709929231719292,1.2200096440488335,0.9629184403263336,1.5129700978814753
Hakkari,0.6597808600178651,0.8653846153846151,0.6597808600178651,5,1.1554839006261037,1.1571569943345523,0.8427322553499714,1.4767982758940186
Kars,0.5856647531243396,0.9134615384615392,0.5856647531243396,5,1.1254373134130655,1.126714324798349,0.8148444993917812,1.4507746932347212
Mardin,0.0361826564521129,1.9711538461538458,0.0361826564521129,5,1.1130557477174214,1.1692820394393661,0.9194709389250975,1.461714256102848
Sivas,0.22320915966015265,1.5865384615384606,0.22320915966015265,5,1.1098870342576297,1.130250321406602,0.8555781564553099,1.4386245883552513
Osmaniye,0.2566135906182456,1.4423076923076925,0.2566135906182456,5,1.086660462063255,1.1013492821974025,0.817703279288799,1.4154270394729664
Düzce,0.3568846677994914,1.1538461538461537,0.3568846677994914,5,1.060284646833541,1.0669274732315133,0.7803494404439141,1.3827253908983066
Trabzon,0.17178244240259244,1.4423076923076925,0.17178244240259244,5,1.0357617731338633,1.0642171920006451,0.7989247640089716,1.3670658566644767
Ordu,0.01969263223099931,1.7307692307692313,0.01969263223099931,5,1.0310463485693688,1.0897435347931188,0.8477893943687409,1.3699051466160863
Tokat,0.1348133633077517,1.4423076923076925,0.1348133633077517,5,1.0135803256769589,1.0459292965293319,0.7853041448928586,1.339719915564442
Çorum,0.17403541828885055,1.3461538461538463,0.17403541828885055,5,1.0082674048194642,1.0333429062862094,0.77163267476364406,1.3279629129684885
Burdur,0.386031897377928,0.9134615384615392,0.386031897377928,5,1.0056575999652186,1.0126784441850256,0.7246875311645045,1.3258221873850133
Isparta,0.16806877992304414,1.201923076923078,0.16806877992304414,5,0.9614181910307499,0.9891015702582562,0.7258404526655837,1.2802077023102243
Erzincan,0.3757833809678577,0.7692307692307688,0.3757833809678577,5,0.9562392593499452,0.9625921062523503,0.6706557139628848,1.2713187658633067
